기사 타이틀,본문
"오세훈, 뉴욕서 도시기후회의…기후동행카드 등 서울정책 알려","[








윤보람 기자
기자 페이지






서울 15년간 온실가스 13%↓…음식물쓰레기 재활용·에코마일리지 소개 타임스퀘어 홍보관·자전거원정대로 새 브랜드 '서울, 마이 소울' 홍보







C40 도시기후리더십그룹 운영위원회의에 참석한 오세훈 시장
(뉴욕=연합뉴스) 오세훈 서울시장이 19일(현지시간) 미국 뉴욕에서 열린 C40 도시기후리더십그룹 운영위원회의에 참석 후 참석자들과 기념촬영을 하고 있다. 왼쪽부터 밀라노 시장, 피닉스 시장, 파리 시장, 부에노스아이레스 시장, 프리타운 시장, 런던 시장, 몬트리올 시장, 북다카 시장, 서울시장, C40 사무총장. 2023.9.19 [서울시 제공. 재판매 및 DB 금지]




 (뉴욕=연합뉴스) 윤보람 기자 = 오세훈 서울시장이 세계 주요 도시에 서울이 거둔 기후위기 대응 정책의 성과를 알리고 새로 추진할 '기후동행카드' 사업의 의미와 비전을 소개했다.
 각종 광고와 홍보의 메카로 통하는 뉴욕 맨해튼 타임스퀘어 일대에서는 서울의 새로운 도시 브랜드를 내걸고 '서울 매력' 홍보전을 펼쳤다.
 오 시장은 19일(현지시간) 미국 뉴욕 플라자호텔에서 열린 'C40 도시기후리더십그룹(이하 C40) 운영위원회의'에 참석했다. 서울시장으로서 C40 회의에 처음 참여한 2009년 이후 14년 만이다.

광고



 C40는 기후위기 대응을 선도하는 전 세계 대도시 시장들이 참여하는 도시 간 협의체다.
 C40 운영위원회는 회원 도시 투표로 선출된 16인의 시장이 참여하는 최고 리더십 그룹으로, 지구 온도 상승을 1.5℃ 내로 제한하는 파리협정 목표 달성, 기후 위기로부터 시민 보호, 정의로운 에너지 전환 선도 등의 임무 수행을 주도한다.
 유엔 기후정상회의와 연계해 열린 이번 회의에는 C40 동(남)아시아·오세아니아 지역대표인 오 시장을 비롯해 런던, 파리, 밀라노 등 9개 도시 시장이 만나 기후위기로부터 도시를 보호하기 위한 협력 방안을 논의했다.
 오 시장은 갈수록 증가하는 여러 배출 요인에도 서울시가 지난 15년간(2005∼2020년) 온실가스 배출을 13% 감축하는 성과를 거뒀다고 소개하며 주요 정책 사례를 공유했다.
 서울시는 1998년부터 음식물쓰레기 분리수거를 실시해 수거한 음식물쓰레기를 100% 재활용함으로써 연간 45만t의 온실가스를 감축했다. 이는 많은 세계 도시가 벤치마킹하기도 했다.
 또한 시는 수거한 음식물쓰레기를 사료(57%), 퇴비(36%), 바이오가스(7%) 등으로 전환해 100% 자원화하고 있다. 나아가 음식물쓰레기에서 연료를 추출하는 신기술을 도입해 2030년까지 바이오가스 비율을 50%까지 확대할 계획이다.






C40 도시기후리더십그룹 운영위원회의에 참석한 오세훈 시장
(뉴욕=연합뉴스) 오세훈 서울시장이 19일(현지시간) 미국 뉴욕에서 열린 C40 도시기후리더십그룹 운영위원회의에 참석해 발언하고 있다. 2023.9.19 [서울시 제공. 재판매 및 DB 금지]




 오 시장은 전기·수도 에너지 절약, 승용차 대신 대중교통 이용 등 일상 속 온실가스 저감을 실천하는 시민에게 혜택을 제공하는 '에코마일리지'도 알리며 에너지 절약문화 확산을 위한 인센티브 제도의 필요성을 강조했다.
 서울시가 2009년 시작한 에코마일리지는 현재 서울시민 전체의 4분의 1에 해당하는 245만명이 참여하고 있다.
 지난 13년간 서울시는 이 제도를 통해 온실가스 226만t(누적, 연평균 약 20만t)을 감축했는데 이는 뉴욕 센트럴파크의 약 600배에 달하는 숲을 조성한 것과 같은 효과다.
 아울러 오 시장은 내년부터 시행하겠다고 최근 발표한 '대중교통 무제한 이용' 기후동행카드의 의미와 비전을 설명한 뒤 ""앞으로 서울시의 경험을 회원도시와 널리 공유하고 관련 기술에 투자해 기후위기 문제를 선도적으로 해결하는 데 앞장서겠다""고 밝혔다.
 오 시장은 20일 뉴욕 유엔본부 경제사회이사회실에서 열린 유엔 기후정상회의 신뢰 세션(Credibility Matters)에도 참여해 온실가스 감축과 기후위기 속 사회적 약자 보호 방안 등을 논의했다.
 기후정상회의에는 세계 120여개국의 정상과 금융, 기업, 시민사회, 지방정부 대표 등이 참여했다. 유엔은 참석 희망 도시의 탄소중립 이행계획과 실행방안, 기후약자 정책 등을 엄정 평가해 서울과 런던, 파리, 뭄바이 총 4개 도시만 이번 회의에 초청했다. 초청 도시들은 전 세계적으로 '가장 야심 찬 실행자'라는 평가를 받았다. 






20일(현지시간) 미국 뉴욕 타임스퀘어의 서울 홍보관을 찾아 인사하는 오세훈 시장
[서울시 제공. 재판매 및 DB 금지]




 기후회의 개최와 맞춰 서울시는 '광고의 메카' 타임스퀘어 일대에서 도시 홍보·세일즈에 나섰다.
 뉴욕 브로드웨이 티켓 판매장소로도 유명한 타임스퀘어 빨간계단(Father Duffy Square)에서 K팝 스타이자 시 홍보대사인 뉴진스의 포토월 전시와 함께 새 도시 브랜드 '서울, 마이 소울'(Seoul, My Soul)을 알리는 홍보관을 열었다.
 서울 브랜드 타투 스티커 행사, 픽토그램을 활용한 모자·티셔츠 등 굿즈(Goods) 전시, 비보잉 공연 등이 진행됐으며 방탄소년단(BTS) 뷔(V)의 서울 홍보 영상인 'Seoul, Make It Yours'를 상영했다.
 오 시장은 행사장을 찾아 뉴욕 시민 등과 기념사진을 찍고 맨해튼 전역을 돌며 서울 브랜드를 홍보해온 '자전거 원정대'(Digital(LED) Bicycle billboards)에 직접 탑승했다.
 오 시장은 ""서울이 즐거운 일이 많이 벌어질 것 같고 행복하게 살 수 있는 도시라는 느낌을 강하게 줄 때 외국인들도 더 많이 보러 오고 투자하러 오고 살러 오고 싶은 도시가 될 것""이라며 ""이미 서울 마이 소울을 친숙하게 느끼는 것 같아 가능성을 봤다. 본격적으로 브랜드를 론칭하게 되면 상당히 큰 반향을 불러오지 않을까 기대한다""고 말했다.






미국 뉴욕 맨해튼 일대에서 운영되는 서울 브랜드 홍보 자전거원정대
[서울시 제공. 재판매 및 DB 금지]




 bryoon@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
광양 아파트 지하주차장서 불…59명 연기흡입 병원 이송,"[








정다움 기자
기자 페이지











119
[연합뉴스 자료사진]




 (광양=연합뉴스) 정다움 기자 = 22일 오전 1시 38분께 전남 광양시 광양읍 한 아파트 지하 주차장 2층에서 불이 났다.
 불은 거주 세대로 확산하지 않았으나 주차장 내부를 태운 뒤 2시간 55분 만에 진화됐다.
 이 불로 연기를 흡입한 주민 등 59명이 소방 당국에 의해 병원으로 이송됐다.

광고



 소방 당국은 현재 화재 원인과 피해 규모를 조사하고 있다.
 daum@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:56 송고

]"
"美 국무부 IT담당 스파이 혐의 기소…""에티오피아에 기밀 전달""","[








강병철 기자
기자 페이지











브리핑 중인 국무부 장관
[EPA 연합뉴스 자료사진. 재판매 및 DB 금지]




 (워싱턴=연합뉴스) 강병철 특파원 = 미국 국무부에서 정보기술(IT) 관련 업무를 담당하는 외주업체 직원이 스파이 혐의로 기소됐다고 미국 법무부가 21일(현지시간) 밝혔다.
 국무부의 IT 지원 업무 담당자인 에이브러햄 테클루 렘마가 국방 관련 정보를 외국 정보에 전달했거나 전달하기 위해 모의한 혐의를 받고 있다.
 그는 2022년 12월부터 지난달 7일까지 정보 보고서에서 기밀 정보를 복사하면서 기밀 표시를 지운 뒤 이를 외국 정보기관과 관련된 외국 공무원에게 전달했다.

광고



 여기에는 외국 지역의 위성 이미지, 군사 활동과 관련한 정보 등이 포함된다고 법무부는 밝혔다.
 이와 관련, 렘마가 정보를 전달한 국가는 에티오피아라고 뉴욕타임스(NYT)가 정보 관계자들을 인용해 보도했다.
 렘마의 스파이 활동은 지난 4월 기밀 정보 유출 혐의로, 매사추세츠 주방위군 소속 잭 테세이라 일병이 체포된 이후 진행한 자체 보안 점검 과정에서 드러났다고 국무부가 별도 보도자료를 통해 밝혔다.
 soleco@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:48 송고

]"
"김여사, 뉴욕 패션 박람회장 찾아 한국 디자이너 격려","[








한지훈 기자
기자 페이지






이란 대통령 배우자 만나 현지 대학 한국어과 설치 당부도







김건희 여사, 국제 패션박람회 '코테리 뉴욕' 방문
(뉴욕=연합뉴스) 진성철 기자 = 윤석열 대통령과 함께 미국을 방문 중인 김건희 여사가 21일(현지시간) 뉴욕 재빗츠 센터에서 열린 국제 패션박람회 '코테리 뉴욕'(COTERIE New York)을 방문, 한국 디자이너들을 만나 브랜드 설명을 들으며 의상을 살펴보고 있다. 2023.9.22 [공동취재] zjin@yna.co.kr




 (뉴욕=연합뉴스) 한지훈 기자 = 윤석열 대통령 부인 김건희 여사는 21일(현지시간) 미국 뉴욕에서 열린 국제 패션 박람회 '코테리 뉴욕'을 찾아 한국 디자이너들을 만났다.
 박람회에 참가한 한국 브랜드 중 하나인 '리이'(RE RHEE)의 상·하의 의상과 가방을 착용하고 한국 브랜드 부스를 일일이 방문해 디자이너들을 격려했다.
 김 여사는 멸종위기 동물을 위한 티셔츠 제작·판매, 친환경 소재 사용과 재활용 제품 생산을 통한 지속 가능한 패션 실천 등 여러 브랜드의 사회적 활동을 확인했다.

광고



 김 여사는 ""전 세계 젊은 층이 한국의 다양하고 자유로운 문화에 큰 호감을 갖고 있다""며 ""그만큼 한국의 라이프 스타일을 담은 K패션의 인기도 높다""고 말했다.
 이어 ""한국 고유의 멋을 담은 K패션을 알리는 우리 디자이너들이 자랑스럽다""면서 ""국내의 유능한 디자이너들이 더욱 활발히 세계 무대로 진출하기를 바란다""고 격려했다.
 한편, 김 여사는 전날 뉴욕에서 이란 대통령 배우자 자밀레 알라몰호다 여사와 만나 환담했다.
 알라몰호다 여사는 ""이란에서 한국 영화, 특히 사극 콘텐츠 인기가 매우 높다""며 ""양국 간 문화 예술에 대한 이해가 깊어지기를 바란다""고 말했다.
 김 여사도 ""문화는 국가 간 우정과 교류를 실천할 수 있는 대표적인 분야""라며 ""문화 예술 분야에서 협력을 증진하자""고 했다.
 김 여사는 테헤란 국립대 등에 한국어과가 정식 설치될 수 있도록 관심을 당부했고, 알라몰호다 여사는 이에 대한 지속적인 협의를 희망한다고 호응했다.






이란 대통령 배우자와 환담하는 김건희 여사
(뉴욕=연합뉴스) 임헌정 기자 = 윤석열 대통령과 미국을 방문 중인 김건희 여사가 20일(현지시간) 뉴욕에서 에브라힘 라이시 이란 대통령의 부인 자밀레 알라몰호다 여사와 환담하고 있다. 2023.9.21 [공동취재] kane@yna.co.kr




 hanjh@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:39 송고

]"
역사상 가장 뜨거웠던 8월…20세기 평균보다 1.25도↑,"[








고일환 기자
기자 페이지






4월부터 5개월 연속 최고치 경신…""내년은 올해보다 심할 수도""







뉴욕에서 열린 기후변화 관련 시위
[로이터 연합뉴스 자료사진]




 (뉴욕=연합뉴스) 고일환 특파원 = 지난달이 174년에 달하는 미국 국립해양대기국(NOAA)의 기상 관측 역사상 가장 뜨거웠던 8월로 기록됐다.
 뉴욕타임스(NYT)는 21일(현지시간) NOAA를 인용해 지난달 세계 평균 기온이 17.1도를 관측됐다고 보도했다.
 이는 20세기 8월 평균기온보다 1.25도가 높은 수치로 NOAA 관측 사상 최고 기록이다.

광고



 북반구에서는 가장 뜨거웠던 여름이었고, 남반구에서는 가장 온난했던 겨울로 나타났다.
 북미와 남미, 아시아와 아프리카에서는 각각 역대 최고 8월 평균기온 기록을 경신했고, 유럽과 오세아니아에서는 역대 두 번째로 더운 8월이라는 기록을 세웠다.
 NYT는 기후변화의 영향으로 올해 들어 전 세계의 평균 기온이 역대 최고치 경신을 이어 나가고 있다고 전했다.
 지난 4월부터 8월까지 5개월 연속 전 세계 평균기온이 역대 최고를 기록했다.
 해수면의 온도도 함께 상승한 것으로 나타났다.
 지난달 전 세계 해수면 평균 온도는 1.03도 상승하면서 역시 역대 최고치 기록을 세웠다.
 이와 함께 지난달에는 세계적으로 19개의 태풍이 발생한 것으로 집계됐다. 역대 월별 태풍 발생 기록 3위에 해당하는 수치다.
 NOAA는 적도 부근의 수온이 상승하는 엘니뇨 현상 가능성을 감안한다면 북반구의 고온 현상은 최소 연말까지 계속될 것으로 보고 있다.
 NOAA 소속 기상학자 커린 글리슨은 ""내년은 올해보다 더 기온이 상승할 가능성도 있다""고 말했다.
 koman@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:38 송고

]"
초가을 일교차 주의…내륙 짙은 안개,"[






초가을 일교차 주의…내륙 짙은 안개
안개낀 월출산으로 향하는 도로의 모습. &lt;&lt;전판성 사진작가 제공&gt;&gt;




 (서울=연합뉴스) 최윤선 기자 = 금요일인 22일 중부내륙을 중심으로 아침 최저기온이 10도 내외로 내려가겠다.
 전국 대부분 지역에서 24일까지 아침 최저기온이 15도 내외까지 떨어지면서 낮과 밤 기온 차가 15도 내외로 크겠다.
 오전까지 중부내륙과 전라권을 중심으로 짙은 안개가 끼는 곳이 있겠다. 

광고



 제주도는 늦은 오후까지 가끔 비가 오는 곳이 있겠다.
 예상 강우량은 5∼30㎜다.
 남해안에는 아침까지 0.1㎜ 미만의 빗방울이 떨어지겠다.
 오전 5시 현재 기온은 서울 15.8도, 인천 17.3도, 수원 14.0도, 춘천 14.7도, 강릉 14.5도, 청주 16.1도, 대전 15.2도, 전주 17.7도, 광주 17.1도, 제주 22.8도, 대구 18.1도, 부산 19.5도, 울산 17.9도, 창원 19.1도 등이다.
 낮 최고기온은 24∼28도로 예보됐다.
 미세먼지 농도는 원활한 대기 확산으로 전국이 '좋음' 수준을 보이겠다.
 바다의 물결은 동해 앞바다에서 0.5∼2.0m, 서해·남해 앞바다에서 0.5∼1.5m로 일겠다.
 안쪽 먼바다(해안선에서 약 200㎞ 내의 먼바다)의 파고는 동해 1.0∼2.5m, 서해 0.5∼2.0m, 남해 0.5∼2.5m로 예측된다.
 ysc@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:35 송고

]"
"뉴욕증시, 매파적 연준·국채금리 상승에 하락…나스닥 1.8%↓마감","[
 (뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 전날 연방준비제도(연준·Fed)의 매파적 기조와 국채 금리 상승에 하락했다.
 21일(미 동부시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 370.46포인트(1.08%) 하락한 34,070.42로 거래를 마쳤다.
 스탠더드앤드푸어스(S&amp;P)500지수는 전장보다 72.20포인트(1.64%) 떨어진 4,330.00으로, 나스닥지수는 전장보다 245.14포인트(1.82%) 밀린 13,223.99로 장을 마감했다. 

광고



 투자자들은 연준의 9월 연방공개시장위원회(FOMC) 결과와 국채금리 상승세 등을 소화했다. 
 연준은 전날 기준금리를 동결하면서도 추가 인상 가능성을 열어뒀다. 
 연준 위원들의 금리 전망치를 담은 점도표에 따르면 연준 위원들은 올해 1회 더 금리를 0.25%포인트 인상할 것으로 예상했다. 
 유가 상승 등으로 인플레이션 압력이 커진 가운데, 연준의 이러한 전망은 금리 인상이 종결될 것이라는 기대에 찬물을 끼얹었다. 여기에 내년 연말 금리 전망치가 5.1%로 올해 연말 전망치인 5.6%에서 0.5%포인트 내려가는 데 그칠 것으로 예상되면서 고금리 환경이 장기간 지속되는 데 따른 위험 회피 심리가 강화됐다. 
 국채금리는 연준의 금리 결정과 이날 주간 실업 지표 강세 등에 추가 상승했다. 연준이 ""더 높은"" 금리를 ""더 오래"" 유지할 것으로 예상되면서 채권 금리 상승 압력이 커지고 있다. 
 10년물 국채금리는 이날 4.48%를 돌파해 2007년 이후 최고치를 경신했다. 2년물 국채금리도 5.19%를 넘어서며 2006년 이후 최고치를 또다시 경신했다. 
 미국의 지난주 신규 실업보험 청구자 수는 전주보다 2만명 감소한 20만1천명으로 집계됐다. 이는 8개월 만에 가장 적은 수준으로 월스트리트저널(WSJ)이 집계한 전문가 예상치 22만5천명을 밑돌았다.
 실업 지표는 여전히 고용시장이 타이트하다는 점을 시사하고 있다.
 다만 필라델피아 연방준비은행(연은)의 9월 제조업 지수는 -13.5를 기록해 제조업 경기가 위축 국면임을 시사했다. 
 콘퍼런스보드의 8월 경기선행지수도 전월보다 0.4% 하락한 105.4를 기록해 17개월 연속 하락세를 보였다. 
 S&amp;P500지수 내 11개 업종이 모두 하락했고, 부동산 관련주가 3%이상 하락하고, 임의소비재와 자재 관련주가 2% 이상 떨어졌다. 
 페덱스의 주가는 분기 이익이 예상치를 웃돌고 연간 이익 전망치를 상향했다는 소식에 4% 이상 올랐다. 
 전날 나스닥에 상장한 클라비요의 주가는 2% 이상 올랐다. 
 KB홈의 주가는 실적이 예상치를 웃돌았다는 소식에도 4% 이상 하락했다. 
 다든 레스토랑의 주가는 실적이 예상치를 웃돌았다는 소식에도 2% 이상 하락했다. 시스코의 주가는 사이버 보안업체 스플렁크를 인수하기로 했다는 소식에 4%가량 하락했고, 스플렁크의 주가는 20% 이상 올랐다.
 뉴욕증시 전문가들은 강한 경제 성장세로 인해 장기간 고금리 환경이 지속될 것이라는 우려에 시장이 반응하고 있다고 설명했다. 그러나 고금리 환경이 장기화하면 경기 연착륙이 어려울 수 있다는 우려가 커질 수 있다는 지적도 나왔다. 
 밴티지의 제이미 두타 애널리스트는 CNBC에 ""파월 의장은 분명 수많은 역풍 중 일부를 강조하고, 신중하게 움직일 것이라고 밝혔다""라면서도 ""그러나 시장은 장기간 더 높은 금리가 필요해 보이는 강한 모멘텀과 더 강해진 성장 스토리를 가진 경제에 따라 움직이고 있다""라고 진단했다. 
 스파르탄 캐피털 증권의 피터 카딜로 시장 담당 이코노미스트는 마켓워치에 ""연준이 순조로운 착륙을 할 수 있다고 생각하지만, 금리를 인상해 장기간 높은 수준을 유지하고, 유가마저 불리하게 작용하면 소비가 얼마나 오래 지속될 수 있겠는가""라고 반문했다. 
 그는 ""이날 주가 하락은 전날의 하락세가 연장된 것""이라며 ""채권 금리가 2006년~2007년 이후 최고치를 경신하고 달러가 강세를 보이고 있다. 이는 모두 공포에 기여하고 있다""고 말했다. 
 시카고상품거래소(CME) 페드워치에 따르면 연방기금(FF) 금리 선물 시장에서 연준이 11월에 금리를 동결할 가능성은 68.6%를, 금리를 0.25%포인트 인상할 가능성은 31.4%를 기록했다.
 시카고옵션거래소(CBOE) 변동성 지수(VIX)는 전장보다 2.40포인트(15.85%) 오른 17.54를 기록했다.






NYSE 입회장에서 일하는 트레이더들의 모습
[연합뉴스 자료사진]




 ysyoon@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:34 송고

]"
인천서 음주차량 신호대기하던 택시 등 2대 추돌…3명 부상,"[








손현규 기자
기자 페이지











음주단속
[연합뉴스TV 캡처. 재판매 및 DB 금지]




 (인천=연합뉴스) 손현규 기자 = 22일 오전 1시 15분께 인천시 서구 가정동 도로에서 50대 여성 A씨가 몰던 모닝 승용차가 신호 대기 중인 택시 등 차량 2대를 잇달아 들이받았다.
 이 사고로 A씨 등 3명이 다쳤으나 생명에는 지장이 없는 상태다. 
 조사 결과 당시 A씨의 혈중알코올농도는 면허 취소 수치(0.08%)를 넘었다.

광고



 경찰은 사고 차량에 설치된 블랙박스를 확인하고 A씨를 상대로 사고 경위를 추가로 조사할 예정이다. 
 경찰 관계자는 ""부상자 모두 경상""이라며 추가 ""조사 후 A씨를 도로교통법상 음주운전 혐의로 불구속 입건할 방침""이라고 말했다.
 son@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:28 송고

]"
"美상원, 군 핵심 고위직 3인 개별 인준…아직 300명 인준 대기","[








김경희 기자
기자 페이지






합참의장 이어 육군 참모총장, 해병대사령관 인준안 가결처리







척 슈머 미국 민주당 상원 원내대표
[AP 연합뉴스 자료 사진. 재판매 및 DB 금지]




 (워싱턴=연합뉴스) 김경희 특파원 = 미국 상원이 공화당 의원 한 명의 어깃장에 수개월간 발목이 잡혀 온 군 핵심 인사 인준을 일부 처리했다.
 상원은 21일(현지시간) 랜디 조지 육군참모총장 지명자, 에릭 스미스 해병대사령관 지명자 등 2명의 인준안을 각각 96대1, 96대1로 가결 처리했다.
 이로써 전날 상원을 통과한 찰스 브라운 합참의장 인준에 이어 미군 고위직 3인의 인준이 의회 문턱을 넘어 조 바이든 대통령이 이들을 정식 임명할 수 있게 됐다.

광고



 하지만 여전히 미 상원에는 300명에 달하는 군 인사의 인준이 수개월째 대기 중인 상황이다.
 공화당 소속인 토미 튜버빌(앨라배마) 상원의원이 낙태 시술을 받을 수 없는 지역에 근무하는 장병이 원정 낙태를 할 경우 교통비 등을 지원하는 국방부 정책 폐기를 요구하며 일괄 처리해온 군 인사 인준안을 가로막고 있기 때문이다.
 미 의회는 그동안 국가 안보와 직결되는 군 인사에 대해선 초당적으로 최대한 조속히 일괄 처리하는 것이 관례였다.
 그러나 튜버빌 의원의 반대에 군 인사안이 통째로 제동이 걸리자 민주당 지도부에서 궁여지책으로 일부 지체할 수 없는 인사에 대해서만 개별 투표를 진행하는 쪽으로 방향을 틀었다.
 튜버빌 의원은 개별 투표까지 반대하지는 않겠다고 했지만, 민주당은 시간이 너무 오래 걸린다는 이유 등을 들어 개별 투표는 최후의 보루로 남겨놓고 지금까지 개별 투표를 하지는 않았다.
 의회조사국(CRS) 분석에 따르면 상원이 군 인사안을 개별 심사하려면 하루 24시간씩 30일 이상 걸리며, 하루 8시간만 심사를 하더라도 최소 89일이 걸린다.
 민주당 상원 척 슈머 원내대표는 이와 관련해 전날 ""이 같은 상태를 이어갈 수 없다""며 ""모든 사람이 영향력을 얻기 위해 모든 것에 반대한다면 의회는 멈출 것""이라고 경고했다.
 kyunghee@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:24 송고

]"
"김기현, 오늘 '보수텃밭' 대구 방문…경제인·수산업계 간담회","[








곽민서 기자
기자 페이지






與, 가맹점주 피해 방지 민당정협의회







인사말 하는 국민의힘 김기현 대표
(서울=연합뉴스) 신준희 기자 = 19일 여의도 켄싱턴호텔에서 열린 국민의힘 울산광역시당-울산광역시 당정협의회에서 김기현 대표가 인사말을 하고 있다. 2023.9.19 hama@yna.co.kr




 (서울=연합뉴스) 곽민서 기자 = 국민의힘 김기현 대표는 22일 보수의 '텃밭' 대구를 방문한다.
 김 대표는 추석 연휴를 한 주 앞둔 이날 대구에서 경제인 간담회와 수산 법인 대표 간담회를 잇따라 진행한다.
 오후에는 대구 최대 전통시장인 서문시장을 찾아 지역 민심을 청취한다.

광고



 김 대표는 이어 권영진 전 대구시장이 상임고문을 맡은 '분권과 통합' 포럼 초청 강연을 진행할 예정이다.
 한편, 국민의힘은 이날 오전 국회에서 가맹점주 피해 방지를 위한 '가맹사업 필수품목 제도 개선' 민·당·정 협의회를 연다.
 회의에는 당에서 박대출 정책위의장, 이만희 정책위 수석부의장 등이, 정부에서는 한기정 공정거래위원장이 참석한다.
 mskwak@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:00 송고

]"
"민주, 당대표·원내대표 부재 속 최고위…당 수습방안 논의","[








박경준 기자
기자 페이지











심각해진 민주당
(서울=연합뉴스) 신준희 기자 = 더불어민주당 박광온 원내대표 등이 21일 국회 본회의장에서 이재명 대표 체포동의안 가결이 예상되자 어두운 표정을 짓고 있다. 2023.9.21 hama@yna.co.kr




 (서울=연합뉴스) 박경준 기자 = 더불어민주당은 22일 오전 국회에서 최고위원회의를 열고 이재명 대표 체포동의안이 전날 국회 본회의에서 가결된 데 따른 후속 조치를 논의한다.
 이날 회의는 단식 중인 이 대표와 체포동의안 가결에 대한 책임을 지고 전날 사퇴한 박 원내대표가 불참한 채 열린다.
 회의에서는 법원의 이 대표 구속영장 심사에 어떻게 대비할지를 비롯한 당 수습 방안과 원내지도부 공백 상태를 조속히 해결하기 위한 원내대표 경선 일정 등이 논의될 전망이다.

광고



 또한 다수의 '반란표'가 발생한 것을 고리로 친명(친이재명)계와 비명(비이재명)계 간 갈등이 극단으로 치닫는 상황을 타개할 방안 역시 논의될 것으로 보인다.
 비명계는 불체포 특권 포기 약속을 뒤집은 이 대표가 물러나야 한다는 입장이지만, 친명계는 이 대표를 중심으로 단합해 이번 사태의 후폭풍을 극복해야 한다는 태도여서 당은 당분간 극심한 혼란을 겪을 것으로 예상된다.
 kjpark@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 05:00 송고

]"
